Frame Index,Latency (ms),7-Frame Trend (ms),High-Frequency Jitter (ms),System Jitter (ms),Cumulative Drift (ms),Temperature Change (C),Centered Trend Component (ms),GPU Temperature (C),GPU SM Clock (MHz),GPU Utilization (%),GPU Power (W),DVFS Event,DVFS Effect (ms),Spike Event,Spike Effect (ms),Burst Effect (ms)
18,9.416448320661273,9.385823463907048,0.03062485675422444,0.029653460889097778,0.5001768773915867,0.0,0.08110874676496138,31.0,2940.0,18.0,121.38,0,0.0,0,0.0,0.0
19,9.366473606654576,9.372320836904098,-0.005847230249521829,-0.006818626114648489,0.4885434520487948,0.0,0.06760611976201147,31.0,2940.0,18.0,121.38,0,0.0,0,0.0,0.0
20,9.527214050292969,9.378544554418447,0.14866949587452183,0.14769810000939518,0.4831337442203516,0.0,0.07382983727636017,31.0,2842.0,18.0,118.8,1,0.14866949587452183,0,0.0,0.0
21,9.368941170828682,9.387891185526946,-0.018950014698264184,-0.019921410563390845,0.48707066750040795,0.0,0.0831764683848597,31.0,2842.0,18.0,118.8,1,-0.018950014698264184,0,0.0,0.0
22,9.337746756417411,9.391347145547673,-0.05360038913026166,-0.05457178499538832,0.494463550801191,0.0,0.08663242840558638,31.0,2842.0,18.0,118.8,1,-0.05360038913026166,0,0.0,0.0
23,9.317211696079799,9.412192831234057,-0.09498113515425821,-0.09595253101938488,0.5227021197883577,0.0,0.10747811409197006,31.0,2842.0,18.0,118.8,1,-0.09498113515425821,0,0.0,0.0
24,9.381202697753906,9.416156846649793,-0.03495414889588666,-0.03592554476101332,0.5549047041912605,0.0,0.11144212950770616,31.0,2842.0,18.0,118.8,1,-0.03495414889588666,0,0.0,0.0
25,9.440640040806361,9.409920205875318,0.03071983493104291,0.02974843906591625,0.5808706478196886,0.0,0.10520548873323143,31.0,2842.0,18.0,118.8,1,0.03071983493104291,0,0.0,0.0
26,9.512393406459264,9.413784883460218,0.09860852299904543,0.09763712713391877,0.6107012690330169,0.0,0.10907016631813171,31.0,2842.0,18.0,118.8,1,0.09860852299904543,0,0.0,0.0
27,9.554962158203125,9.437454379334742,0.11750777886838293,0.11653638300325626,0.6642013861208689,0.0,0.13273966219265532,31.0,2842.0,18.0,118.8,1,0.11750777886838293,0,0.0,0.0
28,9.325284685407366,9.444540062729194,-0.1192553773218279,-0.12022677318695456,0.724787186603173,0.0,0.13982534558710746,31.0,2842.0,18.0,118.8,1,-0.1192553773218279,0,0.0,0.0
29,9.364799499511719,9.423886357521525,-0.059086858009806065,-0.06005825387493272,0.7647192818778077,0.0,0.11917164037943806,31.0,2842.0,18.0,118.8,1,-0.059086858009806065,0,0.0,0.0
30,9.482898167201451,9.390098260373485,0.0927999068279668,0.09182851096284013,0.7708632800044022,0.0,0.08538354323139785,31.0,2865.0,18.0,117.74,1,0.0927999068279668,0,0.0,0.0
31,9.430802481515068,9.347792956293846,0.08300952522122174,0.08203812935609507,0.7347019740513581,0.0,0.043078239151759234,31.0,2865.0,18.0,117.74,1,0.08300952522122174,0,0.0,0.0
32,9.296064104352679,9.341445144341918,-0.04538103998923937,-0.04635243585436603,0.6921928561463861,0.0,0.03673042719983144,31.0,2865.0,18.0,117.74,1,-0.04538103998923937,0,0.0,0.0
33,9.275876726422991,9.32670562121333,-0.05082889479033881,-0.051800290655465465,0.6349442151128262,0.0,0.021990904071243378,31.0,2865.0,18.0,117.74,1,-0.05082889479033881,0,0.0,0.0
34,9.258825029645648,9.294577618034518,-0.03575258838887052,-0.03672398425399718,0.5455675709004542,0.0,-0.010137099107568659,31.0,2865.0,18.0,117.74,1,-0.03575258838887052,0,0.0,0.0
35,9.280850001743861,9.26718435482103,0.013665646922831343,0.012694251057704681,0.4287976634745938,0.0,-0.037530362321057,31.0,2865.0,18.0,117.74,1,0.013665646922831343,0,0.0,0.0
36,9.261622837611608,9.261356431610729,0.0002664060008790159,-0.0007049898642476445,0.30619983283843233,0.0,-0.04335828553135812,31.0,2865.0,18.0,117.74,1,0.0002664060008790159,0,0.0,0.0
37,9.258002144949776,9.272715821558114,-0.014713676608337778,-0.01568507247346444,0.19496139214965602,0.0,-0.03199889558397295,31.0,2865.0,18.0,117.74,1,-0.014713676608337778,0,0.0,0.0
38,9.239049639020648,9.276887543347417,-0.03783790432676959,-0.03880930019189625,0.08789467325018308,0.0,-0.02782717379466959,31.0,2865.0,18.0,117.74,1,-0.03783790432676959,0,0.0,0.0
39,9.25526864188058,9.27134829151387,-0.01607964963329067,-0.017051045498417332,-0.024711297482836514,0.0,-0.033366425628216234,31.0,2865.0,18.0,117.74,1,-0.01607964963329067,0,0.0,0.0
40,9.355392456054688,9.277726153938136,0.07766630211655112,0.07669490625142446,-0.13093940579159025,0.0,-0.026988563203950378,31.0,2940.0,18.0,117.74,0,0.0,0,0.0,0.0
41,9.288027082170759,9.279821123395648,0.0082059587751111,0.007234562909984439,-0.23507254464283278,0.0,-0.02489359374643918,31.0,2940.0,18.0,117.74,0,0.0,0,0.0,0.0
42,9.24207523890904,9.278436621841118,-0.03636138293207836,-0.037332778797205014,-0.3405901850486046,0.0,-0.026278095300968474,31.0,2940.0,18.0,117.74,0,0.0,0,0.0,0.0
43,9.306267874581474,9.27651276880381,0.029755105777663715,0.028783709912537054,-0.44803167849168446,0.0,-0.028201948338276495,31.0,2940.0,18.0,117.74,0,0.0,0,0.0,0.0
44,9.272666931152344,9.261093918158084,0.011573012994260168,0.010601617129133507,-0.570892022580491,0.0,-0.04362079898400317,31.0,2940.0,18.0,117.74,0,0.0,0,0.0,0.0
45,9.229358128138951,9.254262963119817,-0.024904834980866042,-0.025876230845992703,-0.7005833217075637,0.0,-0.05045175402226931,31.0,2940.0,18.0,117.74,0,0.0,0,0.0,0.0
46,9.24180167061942,9.258859284070073,-0.017057613450653264,-0.018029009315779925,-0.8256782998843804,0.0,-0.04585543307201334,31.0,2940.0,18.0,117.74,0,0.0,0,0.0,0.0
47,9.247460501534599,9.273277438416773,-0.025816936882174346,-0.026788332747301007,-0.9363551237144971,0.0,-0.03143727872531343,31.0,2940.0,18.0,117.74,0,0.0,0,0.0,0.0
48,9.240210396902901,9.270322994310028,-0.03011259740712724,-0.0310839932722539,-1.049986391651359,0.0,-0.03439172283205849,31.0,2940.0,18.0,117.74,0,0.0,0,0.0,0.0
49,9.274249485560826,9.274072763871173,0.0001767216896535473,-0.0007946741754731131,-1.1598678900270762,0.0,-0.030641953270913902,31.0,2940.0,18.0,117.74,0,0.0,0,0.0,0.0
50,9.40719495500837,9.274583310497048,0.13261164451132146,0.1316402486461948,-1.269238841776918,0.0,-0.03013140664503844,31.0,2940.0,18.0,119.08,0,0.0,0,0.0,0.0
51,9.251985822405134,9.269618754484215,-0.017632932079081343,-0.018604327944208004,-1.3835743495395931,0.0,-0.03509596265787174,31.0,2940.0,18.0,119.08,0,0.0,0,0.0,0.0
52,9.255606515066964,9.268439312370456,-0.012832797303492072,-0.013804193168618733,-1.4990892994160276,0.0,-0.03627540477163116,31.0,2940.0,18.0,119.08,0,0.0,0,0.0,0.0
53,9.245375497000557,9.264027186802455,-0.018651689801897575,-0.019623085667024236,-1.619016374860463,0.0,-0.040687530339631905,31.0,2940.0,18.0,119.08,0,0.0,0,0.0,0.0
54,9.212708609444755,9.243587727449377,-0.03087911800462173,-0.03185051386974839,-1.759382909657976,0.0,-0.0611269896927098,31.0,2940.0,18.0,119.08,0,0.0,0,0.0,0.0
